STATUS | wrapper  | 2017/11/19 09:47:58 | --> Wrapper Started as Console
STATUS | wrapper  | 2017/11/19 09:47:58 | Launching a JVM...
INFO   | jvm 1    | 2017/11/19 09:47:58 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2017/11/19 09:47:58 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2017/11/19 09:47:58 | 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,027 [INFO ][WrapperSimpleAppMain] total resouces of dataHost localhost1 is :2  (io.mycat.backend.datasource.PhysicalDBPool:PhysicalDBPool.java:100) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,041 [INFO ][WrapperSimpleAppMain] create layer cache pool TableID2DataNodeCache of type encache ,default cache size 10000 ,default expire seconds18000  (io.mycat.cache.CacheService:CacheService.java:125) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,042 [INFO ][WrapperSimpleAppMain] create child Cache: TESTDB_ORDERS for layered cache TableID2DataNodeCache, size 50000, expire seconds 18000  (io.mycat.cache.DefaultLayedCachePool:DefaultLayedCachePool.java:80) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,148 [INFO ][WrapperSimpleAppMain] dyna class load from ./catlet,and auto check for class file modified every 60 seconds  (io.mycat.config.classloader.DynaClassLoader:DynaClassLoader.java:34) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,148 [INFO ][WrapperSimpleAppMain] ===============================================  (io.mycat.MycatServer:MycatServer.java:266) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,148 [INFO ][WrapperSimpleAppMain] MyCat is ready to startup ...  (io.mycat.MycatServer:MycatServer.java:267) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,148 [INFO ][WrapperSimpleAppMain] Startup processors ...,total processors:4,aio thread pool size:8    
INFO   | jvm 1    | 2017/11/19 09:47:59 |  each process allocated socket buffer pool  bytes ,a page size:2097152  a page's chunk number(PageSize/ChunkSize) is:512  buffer page's number is:80  (io.mycat.MycatServer:MycatServer.java:279) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,148 [INFO ][WrapperSimpleAppMain] sysconfig params:SystemConfig [processorBufferLocalPercent=100, frontSocketSoRcvbuf=1048576, frontSocketSoSndbuf=4194304, backSocketSoRcvbuf=4194304, backSocketSoSndbuf=1048576, frontSocketNoDelay=1, backSocketNoDelay=1, maxStringLiteralLength=65535, frontWriteQueueSize=2048, bindIp=0.0.0.0, serverPort=8066, managerPort=9066, charset=utf8, processors=4, processorExecutor=8, timerExecutor=2, managerExecutor=2, idleTimeout=1800000, catletClassCheckSeconds=60, sqlExecuteTimeout=300, processorCheckPeriod=1000, dataNodeIdleCheckPeriod=300000, dataNodeHeartbeatPeriod=10000, clusterHeartbeatUser=_HEARTBEAT_USER_, clusterHeartbeatPass=_HEARTBEAT_PASS_, clusterHeartbeatPeriod=5000, clusterHeartbeatTimeout=10000, clusterHeartbeatRetry=10, txIsolation=3, parserCommentVersion=50148, sqlRecordCount=10, bufferPoolPageSize=2097152, bufferPoolChunkSize=4096, bufferPoolPageNumber=80, maxResultSet=524288, bigResultSizeSqlCount=10, bufferUsagePercent=80, flowControlRejectStrategy=0, clearBigSqLResultSetMapMs=600000, defaultMaxLimit=100, sequnceHandlerType=2, sqlInterceptor=io.mycat.server.interceptor.impl.DefaultSqlInterceptor, sqlInterceptorType=select, sqlInterceptorFile=/usr/local/mycat/logs/sql.txt, mutiNodeLimitType=0, mutiNodePatchSize=100, defaultSqlParser=druidparser, usingAIO=0, packetHeaderSize=4, maxPacketSize=16777216, mycatNodeId=1]  (io.mycat.MycatServer:MycatServer.java:280) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,210 [INFO ][WrapperSimpleAppMain] useOffHeapForMerge = 1  (io.mycat.memory.MyCatMemory:MyCatMemory.java:53) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,210 [INFO ][WrapperSimpleAppMain] memoryPageSize = 1m  (io.mycat.memory.MyCatMemory:MyCatMemory.java:54) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,210 [INFO ][WrapperSimpleAppMain] spillsFileBufferSize = 1k  (io.mycat.memory.MyCatMemory:MyCatMemory.java:55) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,210 [INFO ][WrapperSimpleAppMain] useStreamOutput = 0  (io.mycat.memory.MyCatMemory:MyCatMemory.java:56) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,210 [INFO ][WrapperSimpleAppMain] systemReserveMemorySize = 384m  (io.mycat.memory.MyCatMemory:MyCatMemory.java:57) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,221 [INFO ][WrapperSimpleAppMain] totalNetWorkBufferSize = 160MB  (io.mycat.memory.MyCatMemory:MyCatMemory.java:58) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,221 [INFO ][WrapperSimpleAppMain] dataNodeSortedTempDir = /usr/local/mycat  (io.mycat.memory.MyCatMemory:MyCatMemory.java:59) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,223 [INFO ][WrapperSimpleAppMain] mycat.memory.offHeap.size: 1209MB  (io.mycat.memory.MyCatMemory:MyCatMemory.java:122) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,235 [INFO ][WrapperSimpleAppMain] using nio network handler   (io.mycat.MycatServer:MycatServer.java:381) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,265 [INFO ][WrapperSimpleAppMain] $_MyCatManager is started and listening on 9066  (io.mycat.MycatServer:MycatServer.java:397) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,265 [INFO ][WrapperSimpleAppMain] $_MyCatServer is started and listening on 8066  (io.mycat.MycatServer:MycatServer.java:401) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,266 [INFO ][WrapperSimpleAppMain] ===============================================  (io.mycat.MycatServer:MycatServer.java:403) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,266 [INFO ][WrapperSimpleAppMain] Initialize dataHost ...  (io.mycat.MycatServer:MycatServer.java:407) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,266 [INFO ][WrapperSimpleAppMain] init backend myqsl source ,create connections total 10 for master1 index :0  (io.mycat.backend.datasource.PhysicalDBPool:PhysicalDBPool.java:294) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,275 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for master1 of schema laravel_test_1  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,276 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for master1 of schema laravel_test_1  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,286 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for master1 of schema laravel_test_1  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,294 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for master1 of schema laravel_test_1  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,303 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for master1 of schema laravel_test_1  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,311 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for master1 of schema laravel_test_1  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,319 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for master1 of schema laravel_test_1  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,327 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for master1 of schema laravel_test_1  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,327 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for master1 of schema laravel_test_1  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,327 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for master1 of schema laravel_test_1  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,383 [INFO ][$_NIOREACTOR-1-RW] connected successfuly MySQLConnection [id=5, lastTime=1511084879382, user=zhouhao, schema=laravel_test_1, old shema=laravel_test_1, borrowed=true, fromSlaveDB=false, threadId=101, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=mysql-master, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,383 [INFO ][$_NIOREACTOR-3-RW] connected successfuly MySQLConnection [id=7, lastTime=1511084879382, user=zhouhao, schema=laravel_test_1, old shema=laravel_test_1, borrowed=true, fromSlaveDB=false, threadId=99, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=mysql-master, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,383 [INFO ][$_NIOREACTOR-0-RW] connected successfuly MySQLConnection [id=8, lastTime=1511084879382, user=zhouhao, schema=laravel_test_1, old shema=laravel_test_1, borrowed=true, fromSlaveDB=false, threadId=100, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=mysql-master, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,383 [INFO ][$_NIOREACTOR-0-RW] connected successfuly MySQLConnection [id=4, lastTime=1511084879383, user=zhouhao, schema=laravel_test_1, old shema=laravel_test_1, borrowed=true, fromSlaveDB=false, threadId=102, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=mysql-master, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,383 [INFO ][$_NIOREACTOR-3-RW] connected successfuly MySQLConnection [id=3, lastTime=1511084879383, user=zhouhao, schema=laravel_test_1, old shema=laravel_test_1, borrowed=true, fromSlaveDB=false, threadId=103, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=mysql-master, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,383 [INFO ][$_NIOREACTOR-2-RW] connected successfuly MySQLConnection [id=6, lastTime=1511084879383, user=zhouhao, schema=laravel_test_1, old shema=laravel_test_1, borrowed=true, fromSlaveDB=false, threadId=98, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=mysql-master, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,383 [INFO ][$_NIOREACTOR-1-RW] connected successfuly MySQLConnection [id=1, lastTime=1511084879383, user=zhouhao, schema=laravel_test_1, old shema=laravel_test_1, borrowed=true, fromSlaveDB=false, threadId=97, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=mysql-master, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,383 [INFO ][$_NIOREACTOR-2-RW] connected successfuly MySQLConnection [id=2, lastTime=1511084879383, user=zhouhao, schema=laravel_test_1, old shema=laravel_test_1, borrowed=true, fromSlaveDB=false, threadId=95, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=mysql-master, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,383 [INFO ][$_NIOREACTOR-1-RW] connected successfuly MySQLConnection [id=9, lastTime=1511084879383, user=zhouhao, schema=laravel_test_1, old shema=laravel_test_1, borrowed=true, fromSlaveDB=false, threadId=96, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=mysql-master, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,383 [INFO ][$_NIOREACTOR-2-RW] connected successfuly MySQLConnection [id=10, lastTime=1511084879383, user=zhouhao, schema=laravel_test_1, old shema=laravel_test_1, borrowed=true, fromSlaveDB=false, threadId=104, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=mysql-master, port=3306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,428 [INFO ][WrapperSimpleAppMain] init result :finished 10 success 10 target count:10  (io.mycat.backend.datasource.PhysicalDBPool:PhysicalDBPool.java:319) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,428 [INFO ][WrapperSimpleAppMain] localhost1 index:0 init success  (io.mycat.backend.datasource.PhysicalDBPool:PhysicalDBPool.java:265) 
INFO   | jvm 1    | 2017/11/19 09:47:59 | 2017-11-19 09:47:59,475 [INFO ][Timer0] create connections ,because idle connection not enough ,cur is 0, minCon is 10 for salver1  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:299) 
